"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 24 10:08:26 GMT 2022","Fri Jun 24 10:08:31 GMT 2022","5114","","WebpageTests","","WebpageTests","termsWithReloadPage","Test if I reload the page, the window still exists",""
"passed","Fri Jun 24 10:06:36 GMT 2022","Fri Jun 24 10:06:40 GMT 2022","4155","","WebpageTests","","WebpageTests","termsExitWithXButton","Test if I click the X button the Terms popup disappears",""
"passed","Fri Jun 24 10:07:03 GMT 2022","Fri Jun 24 10:07:14 GMT 2022","10505","","WebpageTests","","WebpageTests","loginWithUsernameAndPass","Login with only username & password registered",""
"passed","Fri Jun 24 10:11:38 GMT 2022","Fri Jun 24 10:11:47 GMT 2022","8533","","WebpageTests","","WebpageTests","navigateToLandingPage","Test if I can navigate to the Landing Page without logging in",""
"passed","Fri Jun 24 10:06:52 GMT 2022","Fri Jun 24 10:07:03 GMT 2022","11255","","WebpageTests","","WebpageTests","succesfulLoginTest","Login with registrated user",""
"failed","Fri Jun 24 10:07:14 GMT 2022","Fri Jun 24 10:07:22 GMT 2022","8213","","WebpageTests","","WebpageTests","registerWithOnlyUsername","Registration test with only username",""
"passed","Fri Jun 24 10:11:47 GMT 2022","Fri Jun 24 10:12:03 GMT 2022","15719","","WebpageTests","","WebpageTests","normalLogOutTest","normalLogOutTest()","Simple Register, Login, Logut process"
"passed","Fri Jun 24 10:08:31 GMT 2022","Fri Jun 24 10:08:40 GMT 2022","8836","","WebpageTests","","WebpageTests","registerWithBasicData","Registration test with only Username,Password & Email fields are filled",""
"passed","Fri Jun 24 10:08:05 GMT 2022","Fri Jun 24 10:08:13 GMT 2022","8185","","WebpageTests","","WebpageTests","loginWithOnlyPasswordTest","Login with only password registered",""
"passed","Fri Jun 24 10:06:25 GMT 2022","Fri Jun 24 10:06:36 GMT 2022","10704","","WebpageTests","","WebpageTests","loginWithoutRegTest","Login before register a user",""
"passed","Fri Jun 24 10:12:03 GMT 2022","Fri Jun 24 10:12:14 GMT 2022","11086","","WebpageTests","","WebpageTests","fullRegisterTest","Registration test with valid datas",""
"passed","Fri Jun 24 10:09:40 GMT 2022","Fri Jun 24 10:09:46 GMT 2022","6203","","WebpageTests","","WebpageTests","termsStillDisplayed","Test if I click on the outside of the Terms popup and it still displayed",""
"failed","Fri Jun 24 10:10:49 GMT 2022","Fri Jun 24 10:10:58 GMT 2022","9251","","WebpageTests","","WebpageTests","registerWithOnlyPassword","Registration test with only password",""
"failed","Fri Jun 24 10:11:18 GMT 2022","Fri Jun 24 10:11:28 GMT 2022","9767","","WebpageTests","","WebpageTests","registerWithOnlyEmail","Registration test with only emailaddress",""
"failed","Fri Jun 24 10:09:46 GMT 2022","Fri Jun 24 10:09:55 GMT 2022","8501","","WebpageTests","","WebpageTests","registerWithOnlyDescription","Registration test with only Description",""
"passed","Fri Jun 24 10:08:13 GMT 2022","Fri Jun 24 10:08:26 GMT 2022","13451","","WebpageTests","","WebpageTests","siteStatusCodeTest","Test if the site is online with Rest",""
"passed","Fri Jun 24 10:08:49 GMT 2022","Fri Jun 24 10:09:40 GMT 2022","51720","","WebpageTests","","WebpageTests","registerMultipleUser","registerMultipleUser()","Register multiple user"
"failed","Fri Jun 24 10:10:58 GMT 2022","Fri Jun 24 10:11:12 GMT 2022","14335","","WebpageTests","","WebpageTests","dataListingTest","dataListingTest()",""
"passed","Fri Jun 24 10:09:55 GMT 2022","Fri Jun 24 10:10:11 GMT 2022","16088","","WebpageTests","","WebpageTests","deleteAllUserData","deleteAllUserData()","Register a user, checks how many cookies on the site, delete user, checks again the number. If it smaller, it works."
"passed","Fri Jun 24 10:10:14 GMT 2022","Fri Jun 24 10:10:49 GMT 2022","34780","","WebpageTests","","WebpageTests","fileDownload","fileDownload()","Download all image to a newly created folder from the landing page"
"passed","Fri Jun 24 10:07:22 GMT 2022","Fri Jun 24 10:07:56 GMT 2022","34534","","WebpageTests","","WebpageTests","blogListingTest","blogListingTest()","List the blogs"
"passed","Fri Jun 24 10:06:40 GMT 2022","Fri Jun 24 10:06:52 GMT 2022","11284","","WebpageTests","","WebpageTests","dodifyDataTest","dodifyDataTest()","Update the profile, and check the updated cookie, if it contains the updated datas"
"failed","Fri Jun 24 10:07:56 GMT 2022","Fri Jun 24 10:08:05 GMT 2022","8284","","WebpageTests","","WebpageTests","registerWithoutAnyData","Registration test without any data",""
"passed","Fri Jun 24 10:11:12 GMT 2022","Fri Jun 24 10:11:18 GMT 2022","6055","","WebpageTests","","WebpageTests","termsAcceptButton","Test if I click on the Accept button the Terms popup disappears",""
"passed","Fri Jun 24 10:10:11 GMT 2022","Fri Jun 24 10:10:14 GMT 2022","2730","","WebpageTests","","WebpageTests","navigateToSite","Test if the site is online",""
"passed","Fri Jun 24 10:08:40 GMT 2022","Fri Jun 24 10:08:49 GMT 2022","8179","","WebpageTests","","WebpageTests","loginWithOnlyUsernameTest","Login with only username registered",""
"failed","Fri Jun 24 10:11:28 GMT 2022","Fri Jun 24 10:11:38 GMT 2022","10128","","WebpageTests","","WebpageTests","registerWithUserAndPass","Registration test with only Username & Password filled",""
