"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 30 13:29:48 GMT 2022","Thu Jun 30 13:29:56 GMT 2022","7337","","WebpageTests","","WebpageTests","loginWithOnlyUsernameTest","Login with only username registered",""
"passed","Thu Jun 30 13:29:30 GMT 2022","Thu Jun 30 13:29:37 GMT 2022","7129","","WebpageTests","","WebpageTests","loginWithOnlyPasswordTest","Login with only password registered",""
"failed","Thu Jun 30 13:29:23 GMT 2022","Thu Jun 30 13:29:30 GMT 2022","6559","","WebpageTests","","WebpageTests","registerWithoutAnyData","Registration test without any data",""
"failed","Thu Jun 30 13:28:49 GMT 2022","Thu Jun 30 13:28:55 GMT 2022","6569","","WebpageTests","","WebpageTests","registerWithOnlyUsername","Registration test with only username",""
"passed","Thu Jun 30 13:29:42 GMT 2022","Thu Jun 30 13:29:48 GMT 2022","6616","","WebpageTests","","WebpageTests","registerWithBasicData","Registration test with only Username,Password & Email fields are filled",""
"passed","Thu Jun 30 13:28:43 GMT 2022","Thu Jun 30 13:28:49 GMT 2022","5226","","WebpageTests","","WebpageTests","loginWithUsernameAndPass","Login with only username & password registered",""
"passed","Thu Jun 30 13:29:37 GMT 2022","Thu Jun 30 13:29:38 GMT 2022","1364","","WebpageTests","","WebpageTests","siteStatusCodeTest","Test if the site is online with Rest",""
"failed","Thu Jun 30 13:31:22 GMT 2022","Thu Jun 30 13:31:28 GMT 2022","6600","","WebpageTests","","WebpageTests","registerWithUserAndPass","Registration test with only Username & Password filled",""
"failed","Thu Jun 30 13:31:15 GMT 2022","Thu Jun 30 13:31:22 GMT 2022","6559","","WebpageTests","","WebpageTests","registerWithOnlyEmail","Registration test with only emailaddress",""
"passed","Thu Jun 30 13:30:52 GMT 2022","Thu Jun 30 13:31:00 GMT 2022","8341","","WebpageTests","","WebpageTests","fileDownload","fileDownload()","Download all image to a newly created folder from the landing page"
"passed","Thu Jun 30 13:28:22 GMT 2022","Thu Jun 30 13:28:29 GMT 2022","6461","","WebpageTests","","WebpageTests","loginWithoutRegTest","Login before register a user",""
"passed","Thu Jun 30 13:28:33 GMT 2022","Thu Jun 30 13:28:43 GMT 2022","10929","","WebpageTests","","WebpageTests","succesfulLoginTest","Login with registrated user",""
"passed","Thu Jun 30 13:31:35 GMT 2022","Thu Jun 30 13:31:42 GMT 2022","6608","","WebpageTests","","WebpageTests","fullRegisterTest","Registration test with valid datas",""
"passed","Thu Jun 30 13:28:55 GMT 2022","Thu Jun 30 13:29:23 GMT 2022","28024","","WebpageTests","","WebpageTests","blogListingTest","blogListingTest()","List the blogs"
"passed","Thu Jun 30 13:31:07 GMT 2022","Thu Jun 30 13:31:12 GMT 2022","4780","","WebpageTests","","WebpageTests","dataListingTest","dataListingTest()","Listing all the schools & work experiences"
"passed","Thu Jun 30 13:31:12 GMT 2022","Thu Jun 30 13:31:15 GMT 2022","3605","","WebpageTests","","WebpageTests","termsAcceptButton","Test if I click on the Accept button the Terms popup disappears",""
"passed","Thu Jun 30 13:28:29 GMT 2022","Thu Jun 30 13:28:33 GMT 2022","3633","","WebpageTests","","WebpageTests","termsExitWithXButton","Test if I click the X button the Terms popup disappears",""
"passed","Thu Jun 30 13:30:43 GMT 2022","Thu Jun 30 13:30:51 GMT 2022","7958","","WebpageTests","","WebpageTests","deleteAllUserData","deleteAllUserData()","Register a user, checks how many cookies on the site, delete user, checks again the number. If it smaller, it works."
"failed","Thu Jun 30 13:31:00 GMT 2022","Thu Jun 30 13:31:07 GMT 2022","6568","","WebpageTests","","WebpageTests","registerWithOnlyPassword","Registration test with only password",""
"passed","Thu Jun 30 13:30:51 GMT 2022","Thu Jun 30 13:30:52 GMT 2022","811","","WebpageTests","","WebpageTests","navigateToSite","Test if the site is online",""
"failed","Thu Jun 30 13:30:37 GMT 2022","Thu Jun 30 13:30:43 GMT 2022","6551","","WebpageTests","","WebpageTests","registerWithOnlyDescription","Registration test with only Description",""
"passed","Thu Jun 30 13:29:38 GMT 2022","Thu Jun 30 13:29:42 GMT 2022","3324","","WebpageTests","","WebpageTests","termsWithReloadPage","Test if I reload the page, the popup window still exists",""
"passed","Thu Jun 30 13:31:31 GMT 2022","Thu Jun 30 13:31:35 GMT 2022","4529","","WebpageTests","","WebpageTests","normalLogOutTest","normalLogOutTest()","Simple Register, Login, Logut process"
"passed","Thu Jun 30 13:30:32 GMT 2022","Thu Jun 30 13:30:37 GMT 2022","4319","","WebpageTests","","WebpageTests","termsStillDisplayed","Test if I click on the outside of the Terms popup and it still displayed",""
"passed","Thu Jun 30 13:29:56 GMT 2022","Thu Jun 30 13:30:32 GMT 2022","36633","","WebpageTests","","WebpageTests","registerMultipleUser","registerMultipleUser()","Register multiple user"
"passed","Thu Jun 30 13:31:28 GMT 2022","Thu Jun 30 13:31:31 GMT 2022","2532","","WebpageTests","","WebpageTests","navigateToLandingPage","Test if I can navigate to the Landing Page without logging in",""
"passed","Thu Jun 30 13:28:14 GMT 2022","Thu Jun 30 13:28:22 GMT 2022","8694","","WebpageTests","","WebpageTests","modifyDataTest","modifyDataTest()","Update the profile, and check the updated cookie, if it contains the updated datas"
