"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","129","","WebpageTests","","WebpageTests","termsAcceptButton","Test if I click on the Accept button the Terms popup disappears",""
"broken","Fri Jun 24 09:40:46 GMT 2022","Fri Jun 24 09:40:46 GMT 2022","158","","WebpageTests","","WebpageTests","loginWithUsernameAndPass","Login with only username & password registered",""
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","136","","WebpageTests","","WebpageTests","registerMultipleUser","registerMultipleUser()","Register multiple user"
"broken","Fri Jun 24 09:40:46 GMT 2022","Fri Jun 24 09:40:46 GMT 2022","166","","WebpageTests","","WebpageTests","succesfulLoginTest","Login with registrated user",""
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","129","","WebpageTests","","WebpageTests","registerWithUserAndPass","Registration test with only Username & Password filled",""
"broken","Fri Jun 24 09:40:46 GMT 2022","Fri Jun 24 09:40:46 GMT 2022","165","","WebpageTests","","WebpageTests","dodifyDataTest","dodifyDataTest()","Update the profile, and check the updated cookie, if it contains the updated datas"
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","131","","WebpageTests","","WebpageTests","navigateToSite","Test if the site is online",""
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","129","","WebpageTests","","WebpageTests","registerWithOnlyEmail","Registration test with only emailaddress",""
"broken","Fri Jun 24 09:40:47 GMT 2022","Fri Jun 24 09:40:47 GMT 2022","132","","WebpageTests","","WebpageTests","termsWithReloadPage","Test if I reload the page, the window still exists",""
"broken","Fri Jun 24 09:40:45 GMT 2022","Fri Jun 24 09:40:46 GMT 2022","677","","WebpageTests","","WebpageTests","loginWithoutRegTest","Login before register a user",""
"broken","Fri Jun 24 09:40:46 GMT 2022","Fri Jun 24 09:40:47 GMT 2022","142","","WebpageTests","","WebpageTests","blogListingTest","blogListingTest()","List the blogs"
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","135","","WebpageTests","","WebpageTests","fileDownload","fileDownload()","Download all image to a newly created folder from the landing page"
"broken","Fri Jun 24 09:40:47 GMT 2022","Fri Jun 24 09:40:47 GMT 2022","142","","WebpageTests","","WebpageTests","registerWithBasicData","Registration test with only Username,Password & Email fields are filled",""
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","138","","WebpageTests","","WebpageTests","fullRegisterTest","Registration test with valid datas",""
"broken","Fri Jun 24 09:40:46 GMT 2022","Fri Jun 24 09:40:46 GMT 2022","145","","WebpageTests","","WebpageTests","registerWithOnlyUsername","Registration test with only username",""
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","127","","WebpageTests","","WebpageTests","navigateToLandingPage","Test if I can navigate to the Landing Page without logging in",""
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","131","","WebpageTests","","WebpageTests","normalLogOutTest","normalLogOutTest()","Simple Register, Login, Logut process"
"broken","Fri Jun 24 09:40:47 GMT 2022","Fri Jun 24 09:40:47 GMT 2022","151","","WebpageTests","","WebpageTests","siteStatusCodeTest","Test if the site is online with Rest",""
"broken","Fri Jun 24 09:40:49 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","132","","WebpageTests","","WebpageTests","dataListingTest","dataListingTest()",""
"broken","Fri Jun 24 09:40:47 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","141","","WebpageTests","","WebpageTests","loginWithOnlyUsernameTest","Login with only username registered",""
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","155","","WebpageTests","","WebpageTests","registerWithOnlyDescription","Registration test with only Description",""
"broken","Fri Jun 24 09:40:46 GMT 2022","Fri Jun 24 09:40:46 GMT 2022","180","","WebpageTests","","WebpageTests","termsExitWithXButton","Test if I click the X button the Terms popup disappears",""
"broken","Fri Jun 24 09:40:47 GMT 2022","Fri Jun 24 09:40:47 GMT 2022","154","","WebpageTests","","WebpageTests","loginWithOnlyPasswordTest","Login with only password registered",""
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","139","","WebpageTests","","WebpageTests","deleteAllUserData","deleteAllUserData()","Register a user, checks how many cookies on the site, delete user, checks again the number. If it smaller, it works."
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:49 GMT 2022","140","","WebpageTests","","WebpageTests","registerWithOnlyPassword","Registration test with only password",""
"broken","Fri Jun 24 09:40:48 GMT 2022","Fri Jun 24 09:40:48 GMT 2022","131","","WebpageTests","","WebpageTests","termsStillDisplayed","Test if I click on the outside of the Terms popup and it still displayed",""
"broken","Fri Jun 24 09:40:47 GMT 2022","Fri Jun 24 09:40:47 GMT 2022","133","","WebpageTests","","WebpageTests","registerWithoutAnyData","Registration test without any data",""
