"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 11:37:16 GMT 2022","Wed Jun 29 11:37:22 GMT 2022","6769","","WebpageTests","","WebpageTests","loginWithoutRegTest","Login before register a user",""
"passed","Wed Jun 29 11:39:42 GMT 2022","Wed Jun 29 11:39:50 GMT 2022","8249","","WebpageTests","","WebpageTests","deleteAllUserData","deleteAllUserData()","Register a user, checks how many cookies on the site, delete user, checks again the number. If it smaller, it works."
"failed","Wed Jun 29 11:38:19 GMT 2022","Wed Jun 29 11:38:25 GMT 2022","6883","","WebpageTests","","WebpageTests","registerWithoutAnyData","Registration test without any data",""
"failed","Wed Jun 29 11:38:45 GMT 2022","Wed Jun 29 11:38:53 GMT 2022","7827","","WebpageTests","","WebpageTests","loginWithOnlyUsernameTest","Login with only username registered",""
"passed","Wed Jun 29 11:40:28 GMT 2022","Wed Jun 29 11:40:31 GMT 2022","2651","","WebpageTests","","WebpageTests","navigateToLandingPage","Test if I can navigate to the Landing Page without logging in",""
"failed","Wed Jun 29 11:39:59 GMT 2022","Wed Jun 29 11:40:06 GMT 2022","6739","","WebpageTests","","WebpageTests","registerWithOnlyPassword","Registration test with only password",""
"passed","Wed Jun 29 11:38:33 GMT 2022","Wed Jun 29 11:38:35 GMT 2022","1584","","WebpageTests","","WebpageTests","siteStatusCodeTest","Test if the site is online with Rest",""
"passed","Wed Jun 29 11:37:50 GMT 2022","Wed Jun 29 11:38:19 GMT 2022","28216","","WebpageTests","","WebpageTests","blogListingTest","blogListingTest()","List the blogs"
"passed","Wed Jun 29 11:37:26 GMT 2022","Wed Jun 29 11:37:38 GMT 2022","12099","","WebpageTests","","WebpageTests","succesfulLoginTest","Login with registrated user",""
"passed","Wed Jun 29 11:38:35 GMT 2022","Wed Jun 29 11:38:38 GMT 2022","3432","","WebpageTests","","WebpageTests","termsWithReloadPage","Test if I reload the page, the popup window still exists",""
"passed","Wed Jun 29 11:38:25 GMT 2022","Wed Jun 29 11:38:33 GMT 2022","7703","","WebpageTests","","WebpageTests","loginWithOnlyPasswordTest","Login with only password registered",""
"passed","Wed Jun 29 11:40:36 GMT 2022","Wed Jun 29 11:40:43 GMT 2022","6818","","WebpageTests","","WebpageTests","fullRegisterTest","Registration test with valid datas",""
"failed","Wed Jun 29 11:39:35 GMT 2022","Wed Jun 29 11:39:42 GMT 2022","6891","","WebpageTests","","WebpageTests","registerWithOnlyDescription","Registration test with only Description",""
"passed","Wed Jun 29 11:39:51 GMT 2022","Wed Jun 29 11:39:59 GMT 2022","8708","","WebpageTests","","WebpageTests","fileDownload","fileDownload()","Download all image to a newly created folder from the landing page"
"passed","Wed Jun 29 11:40:31 GMT 2022","Wed Jun 29 11:40:36 GMT 2022","4902","","WebpageTests","","WebpageTests","normalLogOutTest","normalLogOutTest()","Simple Register, Login, Logut process"
"failed","Wed Jun 29 11:40:15 GMT 2022","Wed Jun 29 11:40:21 GMT 2022","6796","","WebpageTests","","WebpageTests","registerWithOnlyEmail","Registration test with only emailaddress",""
"passed","Wed Jun 29 11:40:06 GMT 2022","Wed Jun 29 11:40:11 GMT 2022","4943","","WebpageTests","","WebpageTests","dataListingTest","dataListingTest()","Listing all the schools & work experiences"
"failed","Wed Jun 29 11:40:21 GMT 2022","Wed Jun 29 11:40:28 GMT 2022","7017","","WebpageTests","","WebpageTests","registerWithUserAndPass","Registration test with only Username & Password filled",""
"passed","Wed Jun 29 11:37:38 GMT 2022","Wed Jun 29 11:37:44 GMT 2022","5405","","WebpageTests","","WebpageTests","loginWithUsernameAndPass","Login with only username & password registered",""
"passed","Wed Jun 29 11:39:30 GMT 2022","Wed Jun 29 11:39:35 GMT 2022","4427","","WebpageTests","","WebpageTests","termsStillDisplayed","Test if I click on the outside of the Terms popup and it still displayed",""
"passed","Wed Jun 29 11:38:38 GMT 2022","Wed Jun 29 11:38:45 GMT 2022","7038","","WebpageTests","","WebpageTests","registerWithBasicData","Registration test with only Username,Password & Email fields are filled",""
"passed","Wed Jun 29 11:37:07 GMT 2022","Wed Jun 29 11:37:16 GMT 2022","8935","","WebpageTests","","WebpageTests","modifyDataTest","modifyDataTest()","Update the profile, and check the updated cookie, if it contains the updated datas"
"failed","Wed Jun 29 11:37:44 GMT 2022","Wed Jun 29 11:37:50 GMT 2022","6768","","WebpageTests","","WebpageTests","registerWithOnlyUsername","Registration test with only username",""
"passed","Wed Jun 29 11:37:22 GMT 2022","Wed Jun 29 11:37:26 GMT 2022","3677","","WebpageTests","","WebpageTests","termsExitWithXButton","Test if I click the X button the Terms popup disappears",""
"passed","Wed Jun 29 11:40:11 GMT 2022","Wed Jun 29 11:40:15 GMT 2022","3651","","WebpageTests","","WebpageTests","termsAcceptButton","Test if I click on the Accept button the Terms popup disappears",""
"passed","Wed Jun 29 11:38:53 GMT 2022","Wed Jun 29 11:39:30 GMT 2022","37186","","WebpageTests","","WebpageTests","registerMultipleUser","registerMultipleUser()","Register multiple user"
"passed","Wed Jun 29 11:39:50 GMT 2022","Wed Jun 29 11:39:51 GMT 2022","829","","WebpageTests","","WebpageTests","navigateToSite","Test if the site is online",""
